alpha,mean_err,std_err,mean_min_err,std_min_err
0,0.11000000000000001,0.09929753269845128,0.095,0.08879752248796134
1,0.13799999999999998,0.09378699270154683,0.128,0.08681013765684281
2,0.086,0.09361623790774762,0.076,0.07977468270071653
3,0.023,0.05330103188494571,0.020999999999999998,0.04742362280551751
4,0.016,0.048,0.016,0.048
5,0.019,0.039610604640676714,0.017,0.034655446902326914
6,0.0,0.0,0.0,0.0
7,0.018,0.054,0.01,0.030000000000000002
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
