alpha,mean_err,std_err,mean_min_err,std_min_err
0.01,0.4926,0.0185537058,0.4761,0.0104254496
0.02,0.4913,0.0145055162,0.4738,0.0081951205
0.03,0.4938,0.0196102014,0.47,0.0082340755
0.04,0.4831,0.017195639,0.4684,0.0096353516
0.05,0.4811,0.0080678374,0.4653,0.0120503112
0.06,0.4875,0.0113776096,0.4653,0.0112609946
0.07,0.4741,0.0160340263,0.4562,0.0128747816
0.08,0.4664,0.0115429632,0.452,0.012083046
0.09,0.468,0.0206542974,0.4455,0.0115693561
0.1,0.4695,0.0159452187,0.4506,0.0087200917
0.11,0.4631,0.020544829,0.4495,0.0087091905
0.12,0.4575,0.0163722326,0.4471,0.0119285372
0.13,0.4568,0.0213438516,0.4446,0.0147118999
0.14,0.4521,0.0124213526,0.4433,0.0128611819
0.15,0.4455,0.0100324474,0.4319,0.011945292
0.16,0.4495,0.0140160622,0.4365,0.0103754518
0.17,0.4555,0.0172872786,0.438,0.0144913767
0.18,0.4354,0.0116636186,0.4232,0.0088746831
0.19,0.438,0.0105356538,0.428,0.0092628289
0.2,0.4489,0.0183872238,0.4265,0.01452756
0.21,0.4411,0.0182288233,0.4234,0.0152328592
0.22,0.4344,0.0077614432,0.4201,0.0130265114
0.23,0.4375,0.0148542923,0.4221,0.0099944985
0.24,0.4233,0.0159,0.4111,0.0097923439
0.25,0.4281,0.0137945641,0.4122,0.0098061205
0.26,0.426,0.0185148589,0.4153,0.0185151289
0.27,0.4266,0.0117234807,0.4094,0.0144443761
0.28,0.43,0.0128607931,0.416,0.0112694277
0.29,0.4139,0.0164769536,0.3986,0.0180842473
0.3,0.4173,0.0193341666,0.3984,0.0168653491
0.31,0.4153,0.01369708,0.4027,0.0084148678
0.32,0.4,0.0137258879,0.3927,0.0151132392
0.33,0.4048,0.0107312627,0.3947,0.0111
0.34,0.4002,0.0147837749,0.3957,0.0128066389
0.35,0.3964,0.0136908729,0.3897,0.01144596
0.36,0.3967,0.0250920306,0.3862,0.020769208
0.37,0.3928,0.0166300932,0.3793,0.0140858085
0.38,0.3947,0.0146904731,0.3848,0.0104096109
0.39,0.3884,0.0154220621,0.3747,0.0160065612
0.4,0.392,0.0217393652,0.3801,0.0182945347
0.41,0.3936,0.0190641024,0.3773,0.0161805439
0.42,0.3898,0.0124482931,0.3785,0.0096046864
0.43,0.3782,0.013029198,0.3673,0.0112964596
0.44,0.3852,0.0189884175,0.3735,0.0153182897
0.45,0.3696,0.0159699718,0.3594,0.0127451952
0.46,0.3643,0.0140787073,0.3546,0.0113066352
0.47,0.3632,0.0225290923,0.3565,0.0205097538
0.48,0.3637,0.0143600139,0.352,0.0155692004
0.49,0.3591,0.0199922485,0.3507,0.0159627692
0.5,0.3534,0.0133731073,0.3444,0.0117660529
0.51,0.3561,0.0150761401,0.3435,0.0124599358
0.52,0.3529,0.0174037352,0.3452,0.012089665
0.53,0.3545,0.0215511021,0.3454,0.0171242518
0.54,0.3517,0.0188098379,0.3362,0.021502558
0.55,0.3508,0.0158164471,0.3401,0.0152738338
0.56,0.3368,0.0206871941,0.3308,0.0177752637
0.57,0.331,0.0186975934,0.3258,0.0169339895
0.58,0.3456,0.0204704665,0.3352,0.0119398492
0.59,0.3392,0.0197220689,0.3276,0.0147594038
0.6,0.329,0.0108627805,0.3206,0.0090133235
0.61,0.339,0.0148526092,0.3259,0.011501739
0.62,0.3321,0.0139172555,0.3226,0.0149813217
0.63,0.3271,0.0220701155,0.3165,0.0191950514
0.64,0.3228,0.0092930081,0.3138,0.0098873657
0.65,0.3168,0.0132348026,0.3094,0.0107814656
0.66,0.301,0.0111803399,0.2994,0.0117320075
0.67,0.3094,0.0124112852,0.3039,0.0114144645
0.68,0.3093,0.0206835684,0.2963,0.0184935124
0.69,0.2967,0.0198798893,0.2891,0.0189865742
0.7,0.3057,0.0126810883,0.2967,0.0138784005
0.71,0.309,0.0201395134,0.3005,0.0202447524
0.72,0.3027,0.0107707938,0.2993,0.0105740248
0.73,0.3012,0.0193793705,0.2941,0.0186249832
0.74,0.2972,0.0205075596,0.2911,0.0172884354
0.75,0.2951,0.0134792433,0.2852,0.0130368708
0.76,0.2948,0.0182471916,0.2875,0.0172351385
0.77,0.2905,0.0197192799,0.2855,0.0175627447
0.78,0.2854,0.0134699666,0.2821,0.0108392804
0.79,0.2852,0.0113912247,0.2802,0.0120731106
0.8,0.2843,0.0202684484,0.272,0.0136967149
0.81,0.275,0.0211849003,0.2688,0.0205562643
0.82,0.2768,0.0145106857,0.2738,0.0136586969
0.83,0.2745,0.015577227,0.2702,0.0151842023
0.84,0.2807,0.0095713113,0.2719,0.0097205967
0.85,0.2646,0.02050951,0.2557,0.0184285105
0.86,0.2592,0.0155935884,0.2521,0.0124374435
0.87,0.2656,0.0119682914,0.2559,0.0145976025
0.88,0.2558,0.0127734099,0.2507,0.0148529458
0.89,0.2574,0.0091345498,0.2529,0.0100244701
0.9,0.2604,0.0161752898,0.2544,0.015615377
0.91,0.2578,0.0278955194,0.2486,0.0233460918
0.92,0.2567,0.0192668108,0.2488,0.0182471916
0.93,0.2411,0.0221018099,0.2347,0.0198899472
0.94,0.2484,0.0173447398,0.2431,0.01595901
0.95,0.2424,0.0157619796,0.2363,0.013160927
0.96,0.2327,0.0152515573,0.2277,0.0157863865
0.97,0.2426,0.0160074982,0.2382,0.0169870539
0.98,0.2372,0.0077948701,0.2322,0.0116601887
0.99,0.2295,0.0149080515,0.2246,0.0116721892
1,0.2305,0.0144031247,0.2252,0.015045265
1.01,0.2221,0.0285112259,0.2182,0.0297617204
1.02,0.2275,0.0209726012,0.2232,0.0199589579
1.03,0.2233,0.015836982,0.2177,0.0176864355
1.04,0.2179,0.0233343095,0.2142,0.0241155551
1.05,0.2132,0.0254903903,0.2087,0.0252073402
1.06,0.2018,0.0187712546,0.1992,0.0181648011
1.07,0.2176,0.0229529954,0.215,0.0223338308
1.08,0.2067,0.0176127795,0.2036,0.0185806351
1.09,0.2118,0.0204782812,0.2076,0.0187360615
1.1,0.204,0.0175442298,0.1975,0.0183752551
1.11,0.2166,0.0247919342,0.2101,0.0239852038
1.12,0.1888,0.0198333053,0.1872,0.0187552659
1.13,0.2114,0.0218366664,0.2093,0.0216889373
1.14,0.2005,0.0274125883,0.1963,0.026298479
1.15,0.2024,0.0235805004,0.1976,0.0217172742
1.16,0.1757,0.0226187975,0.1729,0.0221921157
1.17,0.1828,0.0231119017,0.1773,0.0240043746
1.18,0.1605,0.0329734742,0.159,0.0336154726
1.19,0.1776,0.025036773,0.1727,0.0256906598
1.2,0.1647,0.0219638339,0.1614,0.0237537365
1.21,0.1758,0.022815784,0.1697,0.0209954757
1.22,0.1487,0.0350971509,0.1479,0.0352007102
1.23,0.1604,0.0235847408,0.1577,0.0216335388
1.24,0.1621,0.0189549466,0.159,0.0200149944
1.25,0.1254,0.0473607432,0.1241,0.0469136441
1.26,0.1426,0.0272770966,0.14,0.026130442
1.27,0.1361,0.0524927614,0.134,0.0513673048
1.28,0.1301,0.0291357169,0.1273,0.0299534639
1.29,0.1179,0.0449231566,0.1166,0.0441298085
1.3,0.1262,0.0295188076,0.1257,0.0295467426
1.31,0.1321,0.048136161,0.1279,0.0455729086
1.32,0.1015,0.0553953969,0.1004,0.0546062268
1.33,0.0875,0.0731577064,0.0841,0.0702871966
1.34,0.0987,0.0672696811,0.0978,0.0665594471
1.35,0.1026,0.0565423735,0.101,0.0557117582
1.36,0.0579,0.0498566946,0.057,0.0492219463
1.37,0.0452,0.0564903532,0.0449,0.056045428
1.38,0.0614,0.0628015923,0.0596,0.0612506326
1.39,0.0691,0.0570516433,0.0686,0.0566748622
1.4,0.0611,0.0611677202,0.0604,0.0604734653
